gazette_number,gazette_type,gazette_date,decree_number,change_type,person_name,post_or_position,institution,organism,is_military_person,military_rank,is_military_post,summary
43287,Ordinaria,2026-01-02,,AUTORIZACION_UNIVERSITARIA,,Instituto Universitario Superior de Oriente (IUTSO),,Ministerio del Poder Popular para la Educación Universitaria,NO,,NO,"Resolución mediante la cual se autoriza al Instituto Universitario Superior de Oriente (IUTSO), el funcionamiento de la Extensión Maturín ubicada en la Avenida La Paz N° 28, municipio Maturín, estado Monagas; gestionará en la referida extensión las siguientes carreras: 1. Idiomas, 2. Informática."
43287,Ordinaria,2026-01-02,,AUTORIZACION_UNIVERSITARIA,,Instituto Universitario de Tecnología y Administración Industrial (IUTA),,Ministerio del Poder Popular para la Educación Universitaria,NO,,NO,"Resolución mediante la cual se autoriza al Instituto Universitario de Tecnología y Administración Industrial (IUTA) el funcionamiento en el estado Monagas de la Extensión Maturín, Sede: Calle Barreto con Calle Miranda, Nº 48-50; gestionará en la referida extensión las siguientes carreras: 1. Administración de Sistemas de Mantenimiento, 2. Logística Industrial, 3. Higiene y Seguridad Industrial y 4. Tecnología Instrumentista."
43287,Ordinaria,2026-01-02,,AUTORIZACION_UNIVERSITARIA,,Instituto Universitario de Administración y Gerencia (IUDAG),,Ministerio del Poder Popular para la Educación Universitaria,NO,,NO,"Resolución mediante la cual se aprueba al Instituto Universitario de Administración y Gerencia (IUDAG) las carreras de: 1. Informática, 2. Turismo y Gestión Hotelera y 3. Diseño Gráfico; las referidas carreras se dictarán en la sede principal ubicada en la Avenida Universidad, entre esquinas de Sociedad y San Francisco, Edificio IUDAG, parroquia Catedral, Caracas, Distrito Capital."
43287,Ordinaria,2026-01-02,,AUTORIZACION_UNIVERSITARIA,,Instituciones de Educación Universitaria (IEU),,Consejo Nacional de Universidades,NO,,NO,"Providencia mediante la cual se autoriza a las Instituciones de Educación Universitaria (IEU), la creación de las carreras que en ella se indican."
43287,Ordinaria,2026-01-02,,AUTORIZACION_UNIVERSITARIA,,Instituciones de Educación Universitaria (IEU),,Consejo Nacional de Universidades,NO,,NO,"Providencia mediante la cual se autoriza a las Instituciones de Educación Universitaria (IEU), la creación y funcionamiento de programas de postgrados, que en ella se indican."
43287,Ordinaria,2026-01-02,,AUTORIZACION_UNIVERSITARIA,,Instituciones de Educación Universitaria (IEU),,Consejo Nacional de Universidades,NO,,NO,"Providencia mediante la cual se autoriza a las Instituciones de Educación Universitaria (IEU), el funcionamiento de Proyectos Bajo Modalidad de Multimodalidad, que en ella se señalan."
43287,Ordinaria,2026-01-02,,DESIGNACION_PRESIDENTE_ENTE,Juan Carlos Villegas Brito,Presidente Encargado de la Fundación Centro Nacional de Desarrollo e Investigación en Tecnologías Libres (CENDITEL),Fundación Centro Nacional de Desarrollo e Investigación en Tecnologías Libres (CENDITEL),Ministerio del Poder Popular para la Ciencia y Tecnología,NO,,NO,"Resolución mediante la cual se designa al ciudadano Juan Carlos Villegas Brito, como Presidente Encargado de la Fundación Centro Nacional de Desarrollo e Investigación en Tecnologías Libres (CENDITEL), ente adscrito a este Ministerio."
43287,Ordinaria,2026-01-02,,DESIGNACION_PRESIDENTE_ENTE,Carmen Virginia Liendo Barandiaran,"Presidenta (E) del Centro Nacional de Investigación, Desarrollo e Innovación del Cacao (CENIDIC)",,Ministerio del Poder Popular para la Ciencia y Tecnología,NO,,NO,"Resolución mediante la cual se designa a la ciudadana Carmen Virginia Liendo Barandiaran, como Presidenta (E) del Centro Nacional de Investigación, Desarrollo e Innovación del Cacao (CENIDIC), ente adscrito a este Ministerio."
43287,Ordinaria,2026-01-02,,CONDECORACION,,Medalla de la “orden al Mérito Félix Mercádez Vargas”,,Ministerio Público,NO,,NO,"Acuerdo mediante la cual se impone la Medalla de la “Orden al Mérito Félix Mercádez Vargas”, en su Única Clase y hacerle entrega del diploma correspondiente, a las ciudadanas y ciudadanos que en ella se mencionan."
43288,Ordinaria,2026-01-05,,ELECCION_DIRECTIVA_AN,Jorge Rodríguez Gómez,Presidente de la Asamblea Nacional,,Asamblea Nacional,NO,,NO,"se elige al ciudadano Jorge Rodríguez Gómez, como Presidente de la Asamblea Nacional"
43288,Ordinaria,2026-01-05,,ELECCION_DIRECTIVA_AN,Pedro Infante Aparicio,Primer Vicepresidente de la Asamblea Nacional,,Asamblea Nacional,NO,,NO,"se elige al ciudadano Pedro Infante Aparicio, como Primer Vicepresidente de la Asamblea Nacional"
43288,Ordinaria,2026-01-05,,ELECCION_DIRECTIVA_AN,Grecia Colmenares Santander,Segunda Vicepresidenta de la Asamblea Nacional,,Asamblea Nacional,NO,,NO,"se elige al ciudadano Grecia Colmenares Santander, como Segunda Vicepresidenta de la Asamblea Nacional"
43288,Ordinaria,2026-01-05,,ELECCION_DIRECTIVA_AN,María Alejandra Hernández,Secretaria de la Asamblea Nacional,,Asamblea Nacional,NO,,NO,"se elige al ciudadano María Alejandra Hernández, como Secretaria de la Asamblea Nacional"
43288,Ordinaria,2026-01-05,,ELECCION_DIRECTIVA_AN,José Omar Molina,Subsecretario de la Asamblea Nacional,,Asamblea Nacional,NO,,NO,"se elige al ciudadano José Omar Molina, como Subsecretario de la Asamblea Nacional"
43288,Ordinaria,2026-01-05,,PROGRAMA_EDUCATIVO,,Programa Nacional de Formación en Comunicación,,Ministerio del Poder Popular para la Educación Universitaria,NO,,NO,"Resolución mediante la cual se crea el Programa Nacional de Formación en Comunicación con las menciones: Comunicación Política, Comunicación Popular, Comunicación Digital y Gestión Comunicacional."
43288,Ordinaria,2026-01-05,,PROGRAMA_EDUCATIVO,,Programa Nacional de Formación Avanzada en Automatización,,Ministerio del Poder Popular para la Educación Universitaria,NO,,NO,"Resolución mediante la cual se aprueba el rediseño y actualización curricular del Programa Nacional de Formación Avanzada en Automatización, Control y Robótica."
43288,Ordinaria,2026-01-05,,PROGRAMA_EDUCATIVO,,Programa Nacional de Formación en Aeronáutica Civil,,Ministerio del Poder Popular para la Educación Universitaria,NO,,NO,Resolución mediante la cual se crea la mención de Operaciones Aeroportuarias del Programa Nacional de Formación en Aeronáutica Civil.
43288,Ordinaria,2026-01-05,,PROGRAMA_EDUCATIVO,,Programa Nacional de Formación Avanzada en Informática Mención Desarrollo de Software,,Ministerio del Poder Popular para la Educación Universitaria,NO,,NO,"Resolución mediante la cual se aprueba el rediseño, actualización y ampliación del Programa Nacional de Formación Avanzada en Informática mención Desarrollo de Software."
43288,Ordinaria,2026-01-05,,PROGRAMA_EDUCATIVO,,Programa Nacional de Formación de Avanzada en Ciencias de la Actividad Física y el Deporte,,Ministerio del Poder Popular para la Educación Universitaria,NO,,NO,Resolución mediante la cual se crea el Programa Nacional de Formación de Avanzada en Ciencias de la Actividad Física y el Deporte.
43288,Ordinaria,2026-01-05,,PROGRAMA_EDUCATIVO,,Programa Nacional de Formación en Ciencias de la Atmósfera,,Ministerio del Poder Popular para la Educación Universitaria,NO,,NO,Resolución mediante la cual se crea el Programa Nacional de Formación en Ciencias de la Atmósfera.
43288,Ordinaria,2026-01-05,,PROGRAMA_EDUCATIVO,,Programa Nacional de Formación en Ingeniería Biomédica,,Ministerio del Poder Popular para la Educación Universitaria,NO,,NO,"Resolución mediante la cual se autoriza a la Universidad de las Ciencias de la Salud “Hugo Chávez Frías” (UCS), a gestionar el Programa Nacional de Formación en Ingeniería Biomédica."
